trial,traded,breadth_gate,consensus_k,conviction_sizing,dd_sizer,edge_monitor,enter,exit_,feargreed,fng_min,horserace,hurst_gate,martingale,max_positions,meta_margin,micro_gate,min_age_days,min_hold,mom_gate,money_kelly,money_model,money_pyramid,position_fraction,regime_deploy,regime_persist,scale_enter,scale_in,stop_loss,sweep,trail_stop,tree_weight,trend_soft,vol_floor,vol_scale,profit_2018,profit_2019,profit_2020,profit_2021,profit_2022,profit_2023,profit_2024,profit_2025,fit_score,heldout_score,worst_drawdown,trades
40,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.3716972120211455,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.745389419351938,0.483669644086532,1.1951014486349365,68.54765353786877,0.11337323303157487,0.2797493025858966,0.6379787702462152,-0.028268639064579437,0.275789,0.155313,0.20102929499265676,3694
41,yes,0.3,1,0.0,0.0,0.0,0.75,0.30930535838504514,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.8850363665295702,0.25458965893542884,1.280956236629299,98.58771140024515,0.0717171852349463,0.36786201004621,0.6935025911949237,0.07146237499903196,0.264807,0.20725,0.2023672832436817,3982
42,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,1,0.08,0.0,0.12,0.0,0.15452212714961022,0.4,0.0,2.4621834509339426,0.3282939346123077,1.2515013082352517,152.4207832226737,0.1870870334743393,0.3883807120087521,0.2362352645799628,-0.050261526459184136,0.291158,0.086671,0.24155685610722877,6789
43,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.43052928711860905,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.860566672114107,0.5379979866235354,1.302180754908349,101.67649523582102,0.11849818029954617,0.3076224048305667,0.7234088177805522,-0.029363687407628514,0.280288,0.140789,0.23405056069830732,3694
44,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.0,0.0,364.96489555926644,16,0.0,0.0,0.5,0.0,0.15,0.0,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,-0.01583390131191409,0.05137187270501409,0.5213227725480467,6.777344683351146,0.09314632161762515,0.07478270013818,0.2722553323995027,-0.05694638968858201,0.142536,0.124803,0.15183561677023982,7498
45,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.8203591951050445,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.7868401853301301,0.5278740448502963,1.2779956115094224,100.80233202885223,0.11915724447718157,0.30114624956861635,0.7589589664851097,-0.01492365342888513,0.28037,0.162113,0.21963868182474078,3694
46,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.5744032702137217,0.0,1.7868401853301301,0.5278740448502963,1.2779956115094224,100.80233202885223,0.11915724447718157,0.30114624956861635,0.7589589664851097,-0.01492365342888513,0.28037,0.162113,0.21963868182474078,3694
47,yes,0.3,1,0.0,0.0,0.0,0.8480146436371179,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.8812927549031087,0.7228234978056862,1.7732265271248888,111.35323410080021,0.18356729202435274,0.6041938194980623,0.532260026223526,-0.10835059676521253,0.292504,0.109418,0.20209400326367877,3092
48,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.019593749688462947,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.7868401853301301,0.5402627129449713,0.8986420706793683,13.879484656959765,0.07593694577377574,0.2978408548155802,0.3117225265711976,0.07901691735760386,0.272362,0.20878,0.19045422861483796,2550
49,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.4343620823595831,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.0,0.0,0.12,0.0,0.0,0.4,0.0,1.921485977903937,0.5719382076789385,1.27532322115391,109.6384310172297,0.13684856948616053,0.34774990801775907,0.8208983613242029,-0.02611317547156733,0.283006,0.156553,0.20377136209120605,3678
50,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.7868401853301301,0.5278740448502963,1.2779956115094224,100.80233202885223,0.11915724447718157,0.30114624956861635,0.7589589664851097,-0.01492365342888513,0.28037,0.162113,0.21963868182474078,3694
51,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.31357564663048204,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,6.309110086212577,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.9124905138444745,0.5523665398891651,1.3187623399388455,98.47957315003555,0.1274667359365922,0.29304608825967593,0.7179549369315814,-0.056287497375013595,0.280624,0.139456,0.21964823446777482,3694
52,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.0,0.0,0.0,0.4,0.0,1.8082070685491427,0.5995937467175274,1.148228082630089,120.43023329938117,0.11915724447718157,0.30114624956861635,0.7589589664851097,0.025867257905611174,0.280247,0.182569,0.21963868182474078,3681
53,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,0.5868285618486624,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.774966231572269,0.4873828957369044,1.2316972514685136,101.68322774437428,0.11649525239262593,0.30114624956861635,0.7589589664851097,-0.01492365342888513,0.279904,0.162113,0.21963868182474078,3916
54,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.017332063137689563,0.0,2,0.03602531142669468,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.7868401853301301,0.5278740448502963,0.6572814207669764,26.60891469796353,0.14659002836334278,0.07207047177731152,0.005178424046570207,0.0461144248265819,0.244599,0.031347,0.18874201491561926,2473
55,yes,0.3,1,0.24445285032063335,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,1,0.005,0.0,10.790702888755703,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.4578211036770656,0.11175663054531526,2.078857478503416,238.82383138055295,0.324410348643412,0.8264703931549848,1.2963738399918294,-0.15738792879310004,0.229462,-0.070153,0.37744872711286526,2324
56,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.4137668128646453,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.7868401853301301,0.5276177004871709,1.31993062271349,100.80233202885223,0.11915724447718157,0.3026719729465832,0.7553573184983529,-0.01492365342888513,0.28038,0.16211,0.21965503815661835,3687
